kabupaten/kota,jumlah_kf1,%_kf1,jumlah_kflengkap,%_kflengkap,jumlah_vitamin_a,%_vitamin_a,anak_lahir_hidup,jumlah_ibu_bersalin_nifas,jumlah_bayi_baru_lahir_ditimbang,%_bayi_baru_lahir_ditimbang,jumlah_bayi_bblr,%_bayi_bblr,jumlah_prematur,%_prematur,jumlah_kn1,%_kn1,jumlah_kn_lengkap,%_knlengkap,jumlah_hb0,%_hb0,jumlah_bcg,%_bcg,jumlah_campak_rubela,%_campak_rubela,jumlah_imunisasi_dasar_lengkap,%_imunisasi_dasar_lengkap,"jumlah_DPT-HB-Hib3					","%_DPT-HB-Hib3					",jumlah_polio4,%_polio4
KAB. PACITAN,"4,460",62.6,"4,452",62.5,"4,460",62.6,"6,746","7,120","4,442",65.8,305,6.9,142,2.1,"4,436",65.8,"4,403",65.3,"4,312",63.9,"4,261",63.2,"4,692",70.6,"4,707",70.8,"4,858",73.1,"4,434",66.7
KAB. PONOROGO,"7,334",59.6,"7,230",58.8,"7,334",59.6,"11,713","12,303","7,322",62.5,373,5.1,153,1.3,"7,310",62.4,"7,163",61.2,"7,313",62.4,"7,295",62.3,"7,760",67.1,"7,811",67.5,"7,718",66.7,"7,511",64.9
KAB. TRENGGALEK,"6,411",64.9,"6,283",63.6,"6,411",64.9,"9,318","9,880","6,440",69.1,402,6.2,164,1.8,"6,419",68.9,"6,320",67.8,"6,282",67.4,"6,211",66.7,"6,759",73.4,"6,761",73.4,"6,612",71.8,"6,265",68.1
KAB. TULUNGAGUNG,"10,753",69.4,"10,713",69.2,"10,753",69.4,"14,684","15,484","10,772",73.4,406,3.8,160,1.1,"10,771",73.4,"10,642",72.5,"10,657",72.6,"11,141",75.9,"12,024",82.9,"12,138",83.7,"11,443",78.9,"11,134",76.8
KAB. BLITAR,"10,287",55.5,"10,283",55.5,"10,296",55.5,"17,197","18,544","10,291",59.8,670,6.5,350,2,"10,282",59.8,"10,238",59.5,"10,201",59.3,"10,067",58.5,"10,924",64.3,"10,988",64.7,"10,729",63.2,"10,315",60.7
KAB. KEDIRI,"15,111",56.5,"14,832",55.5,"15,091",56.5,"24,912","26,732","15,149",60.8,672,4.4,455,1.8,"15,115",60.7,"14,940",60,"15,395",61.8,"16,029",64.3,"16,788",68.3,"16,788",68.3,"16,428",66.8,"16,381",66.6
KAB. MALANG,"30,973",74.3,"30,140",72.3,"30,140",72.3,"39,536","41,709","30,997",78.4,"1,487",4.8,719,1.8,"30,951",78.3,"30,730",77.7,"29,847",75.5,"31,915",80.7,"33,285",85.2,"33,285",85.2,"31,927",81.7,"31,494",80.6
KAB. LUMAJANG,"12,031",72,"11,594",69.3,"12,031",72,"15,921","16,720","12,037",75.6,720,6,404,2.5,"11,942",75,"11,657",73.2,"11,760",73.9,"11,511",72.3,"11,216",71.5,"11,302",72.1,"10,696",68.2,"10,812",68.9
KAB. JEMBER,"29,242",72.6,"28,382",70.4,"29,381",72.9,"38,289","40,302","20,930",54.7,"1,887",9,"4,099",10.7,"29,294",76.5,"28,547",74.6,"28,720",75,"31,160",81.4,"33,609",89.3,"33,609",89.3,"32,553",86.5,"32,006",85
KAB. BANYUWANGI,"16,813",64.4,"16,366",62.7,"16,813",64.4,"24,722","26,098","16,834",68.1,777,4.6,323,1.3,"16,834",68.1,"16,426",66.4,"16,510",66.8,"16,721",67.6,"17,449",71.8,"17,549",72.2,"16,643",68.5,"16,239",66.8
KAB. BONDOWOSO,"9,126",75.3,"8,839",72.9,"9,118",75.2,"11,453","12,124","9,103",79.5,828,9.1,420,3.7,"9,012",78.7,"8,693",75.9,"8,828",77.1,"8,689",75.9,"8,951",79.7,"9,017",80.3,"8,525",75.9,"8,360",74.5
KAB. SITUBONDO,"7,907",77.4,"7,686",75.2,"7,907",77.4,"9,924","10,214","7,906",79.7,480,6.1,268,2.7,"7,917",79.8,"7,748",78.1,"8,025",80.9,"8,036",81,"8,097",83.2,"8,108",83.3,"7,694",79.1,"7,807",80.2
KAB. PROBOLINGGO,"15,599",86.4,"15,006",83.1,"15,448",85.6,"17,332","18,055","13,630",78.6,"1,074",7.9,500,2.9,"14,954",86.3,"14,128",81.5,"15,086",87,"15,241",87.9,"15,648",91.9,"15,856",93.1,"15,114",88.8,"14,926",87.7
KAB. PASURUAN,"23,577",97.3,"23,577",97.3,"22,489",92.8,"22,968","24,221","22,983",100.1,973,4.2,697,3,"22,983",100.1,"22,971",100,"22,012",95.8,"22,015",95.9,"21,866",96.7,"21,866",96.7,"21,587",95.4,"21,707",96
KAB. SIDOARJO,"31,016",100.2,"31,007",100.2,"31,008",100.2,"29,176","30,947","31,028",106.3,576,1.9,372,1.3,"30,973",106.2,"30,885",105.9,"30,473",104.4,"30,077",103.1,"29,778",103.2,"29,778",103.2,"29,877",103.6,"29,922",103.7
