table_no,no,kabupaten,metric,value
1,1.0,KAB. PACITAN,luas_wilayah_km2,1434.818
1,1.0,KAB. PACITAN,jumlah_desa,167.0
1,1.0,KAB. PACITAN,jumlah_kelurahan,5.0
1,1.0,KAB. PACITAN,jumlah_desa_+_kelurahan,172
1,1.0,KAB. PACITAN,jumlah_penduduk_desa_+_kelurahan,589034.0
1,1.0,KAB. PACITAN,jumlah_rumah_tangga_desa_+_kelurahan,194196.0
1,1.0,KAB. PACITAN,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,3.033193269
1,1.0,KAB. PACITAN,kepadatan_penduduk_per_km2_desa_+_kelurahan,410.5287221
1,2.0,KAB. PONOROGO,luas_wilayah_km2,1418.618
1,2.0,KAB. PONOROGO,jumlah_desa,281.0
1,2.0,KAB. PONOROGO,jumlah_kelurahan,26.0
1,2.0,KAB. PONOROGO,jumlah_desa_+_kelurahan,307
1,2.0,KAB. PONOROGO,jumlah_penduduk_desa_+_kelurahan,966111.0
1,2.0,KAB. PONOROGO,jumlah_rumah_tangga_desa_+_kelurahan,340327.0
1,2.0,KAB. PONOROGO,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,2.83877271
1,2.0,KAB. PONOROGO,kepadatan_penduduk_per_km2_desa_+_kelurahan,681.0226573
1,3.0,KAB. TRENGGALEK,luas_wilayah_km2,1249.367
1,3.0,KAB. TRENGGALEK,jumlah_desa,152.0
1,3.0,KAB. TRENGGALEK,jumlah_kelurahan,5.0
1,3.0,KAB. TRENGGALEK,jumlah_desa_+_kelurahan,157
1,3.0,KAB. TRENGGALEK,jumlah_penduduk_desa_+_kelurahan,747614.0
1,3.0,KAB. TRENGGALEK,jumlah_rumah_tangga_desa_+_kelurahan,242371.0
1,3.0,KAB. TRENGGALEK,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,3.084585202
1,3.0,KAB. TRENGGALEK,kepadatan_penduduk_per_km2_desa_+_kelurahan,598.3942268
1,4.0,KAB. TULUNGAGUNG,luas_wilayah_km2,1144.856
1,4.0,KAB. TULUNGAGUNG,jumlah_desa,257.0
1,4.0,KAB. TULUNGAGUNG,jumlah_kelurahan,14.0
1,4.0,KAB. TULUNGAGUNG,jumlah_desa_+_kelurahan,271
1,4.0,KAB. TULUNGAGUNG,jumlah_penduduk_desa_+_kelurahan,1119588.0
1,4.0,KAB. TULUNGAGUNG,jumlah_rumah_tangga_desa_+_kelurahan,413773.0
1,4.0,KAB. TULUNGAGUNG,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,2.705802457
1,4.0,KAB. TULUNGAGUNG,kepadatan_penduduk_per_km2_desa_+_kelurahan,977.929102
1,5.0,KAB. BLITAR,luas_wilayah_km2,1744.3300000000002
1,5.0,KAB. BLITAR,jumlah_desa,220.0
1,5.0,KAB. BLITAR,jumlah_kelurahan,28.0
1,5.0,KAB. BLITAR,jumlah_desa_+_kelurahan,248
1,5.0,KAB. BLITAR,jumlah_penduduk_desa_+_kelurahan,1273451.0
1,5.0,KAB. BLITAR,jumlah_rumah_tangga_desa_+_kelurahan,459648.0
1,5.0,KAB. BLITAR,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,2.770491768
1,5.0,KAB. BLITAR,kepadatan_penduduk_per_km2_desa_+_kelurahan,730.0516531
1,6.0,KAB. KEDIRI,luas_wilayah_km2,1523.563
1,6.0,KAB. KEDIRI,jumlah_desa,343.0
1,6.0,KAB. KEDIRI,jumlah_kelurahan,1.0
1,6.0,KAB. KEDIRI,jumlah_desa_+_kelurahan,344
1,6.0,KAB. KEDIRI,jumlah_penduduk_desa_+_kelurahan,1702262.0
1,6.0,KAB. KEDIRI,jumlah_rumah_tangga_desa_+_kelurahan,528228.0
1,6.0,KAB. KEDIRI,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,3.222589488
1,6.0,KAB. KEDIRI,kepadatan_penduduk_per_km2_desa_+_kelurahan,1117.290194
1,7.0,KAB. MALANG,luas_wilayah_km2,3473.747
1,7.0,KAB. MALANG,jumlah_desa,378.0
1,7.0,KAB. MALANG,jumlah_kelurahan,12.0
1,7.0,KAB. MALANG,jumlah_desa_+_kelurahan,390
1,7.0,KAB. MALANG,jumlah_penduduk_desa_+_kelurahan,2755438.0
1,7.0,KAB. MALANG,jumlah_rumah_tangga_desa_+_kelurahan,916757.0
1,7.0,KAB. MALANG,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,3.005636172
1,7.0,KAB. MALANG,kepadatan_penduduk_per_km2_desa_+_kelurahan,793.2178135
1,8.0,KAB. LUMAJANG,luas_wilayah_km2,1796.489
1,8.0,KAB. LUMAJANG,jumlah_desa,198.0
1,8.0,KAB. LUMAJANG,jumlah_kelurahan,7.0
1,8.0,KAB. LUMAJANG,jumlah_desa_+_kelurahan,205
1,8.0,KAB. LUMAJANG,jumlah_penduduk_desa_+_kelurahan,1152264.0
1,8.0,KAB. LUMAJANG,jumlah_rumah_tangga_desa_+_kelurahan,335963.0
1,8.0,KAB. LUMAJANG,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,3.429734822
1,8.0,KAB. LUMAJANG,kepadatan_penduduk_per_km2_desa_+_kelurahan,641.3977486
1,9.0,KAB. JEMBER,luas_wilayah_km2,3314.358
1,9.0,KAB. JEMBER,jumlah_desa,226.0
1,9.0,KAB. JEMBER,jumlah_kelurahan,22.0
1,9.0,KAB. JEMBER,jumlah_desa_+_kelurahan,248
1,9.0,KAB. JEMBER,jumlah_penduduk_desa_+_kelurahan,2620135.0
1,9.0,KAB. JEMBER,jumlah_rumah_tangga_desa_+_kelurahan,753012.0
1,9.0,KAB. JEMBER,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,3.479539503
1,9.0,KAB. JEMBER,kepadatan_penduduk_per_km2_desa_+_kelurahan,790.5407322
1,10.0,KAB. BANYUWANGI,luas_wilayah_km2,3593.849
1,10.0,KAB. BANYUWANGI,jumlah_desa,189.0
1,10.0,KAB. BANYUWANGI,jumlah_kelurahan,28.0
1,10.0,KAB. BANYUWANGI,jumlah_desa_+_kelurahan,217
1,10.0,KAB. BANYUWANGI,jumlah_penduduk_desa_+_kelurahan,1764540.0
1,10.0,KAB. BANYUWANGI,jumlah_rumah_tangga_desa_+_kelurahan,574870.0
1,10.0,KAB. BANYUWANGI,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,3.069459182
1,10.0,KAB. BANYUWANGI,kepadatan_penduduk_per_km2_desa_+_kelurahan,490.9889091
1,11.0,KAB. BONDOWOSO,luas_wilayah_km2,1554.992
1,11.0,KAB. BONDOWOSO,jumlah_desa,209.0
1,11.0,KAB. BONDOWOSO,jumlah_kelurahan,10.0
1,11.0,KAB. BONDOWOSO,jumlah_desa_+_kelurahan,219
1,11.0,KAB. BONDOWOSO,jumlah_penduduk_desa_+_kelurahan,796300.0
1,11.0,KAB. BONDOWOSO,jumlah_rumah_tangga_desa_+_kelurahan,283208.0
1,11.0,KAB. BONDOWOSO,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,2.811714358
1,11.0,KAB. BONDOWOSO,kepadatan_penduduk_per_km2_desa_+_kelurahan,512.0926667
1,12.0,KAB. SITUBONDO,luas_wilayah_km2,1654.705
1,12.0,KAB. SITUBONDO,jumlah_desa,132.0
1,12.0,KAB. SITUBONDO,jumlah_kelurahan,4.0
1,12.0,KAB. SITUBONDO,jumlah_desa_+_kelurahan,136
1,12.0,KAB. SITUBONDO,jumlah_penduduk_desa_+_kelurahan,704243.0
1,12.0,KAB. SITUBONDO,jumlah_rumah_tangga_desa_+_kelurahan,207903.0
1,12.0,KAB. SITUBONDO,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,3.387363338
1,12.0,KAB. SITUBONDO,kepadatan_penduduk_per_km2_desa_+_kelurahan,425.6003336
1,13.0,KAB. PROBOLINGGO,luas_wilayah_km2,1725.171
1,13.0,KAB. PROBOLINGGO,jumlah_desa,325.0
1,13.0,KAB. PROBOLINGGO,jumlah_kelurahan,5.0
1,13.0,KAB. PROBOLINGGO,jumlah_desa_+_kelurahan,330
1,13.0,KAB. PROBOLINGGO,jumlah_penduduk_desa_+_kelurahan,1193272.0
1,13.0,KAB. PROBOLINGGO,jumlah_rumah_tangga_desa_+_kelurahan,375141.0
1,13.0,KAB. PROBOLINGGO,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,3.180862662
1,13.0,KAB. PROBOLINGGO,kepadatan_penduduk_per_km2_desa_+_kelurahan,691.6833172
1,14.0,KAB. PASURUAN,luas_wilayah_km2,1493.161
1,14.0,KAB. PASURUAN,jumlah_desa,341.0
1,14.0,KAB. PASURUAN,jumlah_kelurahan,24.0
1,14.0,KAB. PASURUAN,jumlah_desa_+_kelurahan,365
1,14.0,KAB. PASURUAN,jumlah_penduduk_desa_+_kelurahan,1669400.0
1,14.0,KAB. PASURUAN,jumlah_rumah_tangga_desa_+_kelurahan,465220.0
1,14.0,KAB. PASURUAN,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,3.588409785
1,14.0,KAB. PASURUAN,kepadatan_penduduk_per_km2_desa_+_kelurahan,1118.030808
1,15.0,KAB. SIDOARJO,luas_wilayah_km2,724.766
1,15.0,KAB. SIDOARJO,jumlah_desa,318.0
1,15.0,KAB. SIDOARJO,jumlah_kelurahan,28.0
1,15.0,KAB. SIDOARJO,jumlah_desa_+_kelurahan,346
1,15.0,KAB. SIDOARJO,jumlah_penduduk_desa_+_kelurahan,2193692.0
1,15.0,KAB. SIDOARJO,jumlah_rumah_tangga_desa_+_kelurahan,657281.0
1,15.0,KAB. SIDOARJO,ratarata_jiwa_rumah_tangga_desa_+_kelurahan,3.337525351
